(126.0,0.0,1)
(194.5,0.0,5)
(266.0,0.0,1)
(300.5,0.0,5)
(9.5,1.0,3)
(45.0,1.0,1)
(79.5,1.0,5)
(115.5,1.0,3)
(149.5,1.0,1)
(169.5,1.0,5)
(221.0,1.0,3)
(236.0,1.0,1)
(253.5,1.0,5)
(344.0,1.0,3)
(350.5,1.0,1)
(19.5,2.0,5)
(26.5,2.0,3)
(54.5,2.0,1)
(62.5,2.0,5)
(90.5,2.0,3)
(98.0,2.0,1)
(126.0,2.0,3)
(133.0,2.0,5)
(161.5,2.0,3)
(169.0,2.0,1)
(197.5,2.0,3)
(203.5,2.0,5)
(323.5,2.0,3)
(341.5,2.0,1)
(357.0,2.0,5)
(30.5,3.0,3)
(48.5,3.0,1)
(66.0,3.0,3)
(102.0,3.0,5)
(118.0,3.0,3)
(136.5,3.0,1)
(171.0,3.0,5)
(188.5,3.0,3)
(205.5,3.0,2)
(242.0,3.0,4)
(258.5,3.0,1)
(277.0,3.0,5)
(312.5,3.0,3)
(328.0,3.0,1)
(346.0,3.0,1)
(3.0,4.0,5)
(20.0,4.0,5)
(37.5,4.0,3)
(59.0,4.0,1)
(74.0,4.0,3)
(90.5,4.0,5)
(107.5,4.0,3)
(126.0,4.0,1)
(173.5,4.0,3)
(181.5,4.0,3)
(189.5,4.0,5)
(209.0,4.0,1)
(217.0,4.0,1)
(225.5,4.0,3)
(276.0,4.0,5)
(284.0,4.0,5)
(294.0,4.0,1)
(312.5,4.0,3)
(321.0,4.0,3)
(329.5,4.0,1)
(348.5,4.0,1)
(357.0,4.0,1)
(4.5,5.0,5)
(58.0,5.0,3)
(65.5,5.0,3)
(75.5,5.0,1)
(93.5,5.0,5)
(101.0,5.0,5)
(110.0,5.0,3)
(129.5,5.0,1)
(137.0,5.0,1)
(145.0,5.0,3)
(197.0,5.0,5)
(205.5,5.0,5)
(214.0,5.0,1)
(234.0,5.0,3)
(240.5,5.0,3)
(248.5,5.0,1)
(328.0,5.0,1)
(38.0,6.0,3)
(108.5,6.0,4)
(127.0,6.0,2)
(178.5,6.0,1)
(193.5,6.0,5)
(211.5,6.0,3)
(284.0,6.0,1)
(300.5,6.0,3)
(308.5,6.0,3)
(336.0,6.0,5)
(342.5,6.0,5)
(13.0,7.0,1)
(20.5,7.0,3)
(47.5,7.0,5)
(54.5,7.0,3)
(82.0,7.0,2)
(86.0,7.0,5)
(118.5,7.0,2)
(126.0,7.0,4)
(157.0,7.0,1)
(172.0,7.0,3)
(278.5,7.0,3)
(295.5,7.0,5)
(315.0,7.0,1)
(350.0,7.0,2)
(7.0,8.0,4)
(24.0,8.0,1)
(60.5,8.0,3)
(74.0,8.0,5)
(92.0,8.0,4)
(130.5,8.0,2)
(146.5,8.0,4)
(163.5,8.0,1)
(199.5,8.0,3)
(215.5,8.0,5)
(237.0,8.0,1)
(270.0,8.0,3)
(285.5,8.0,1)
(303.5,8.0,1)
(319.0,8.0,1)
(338.0,8.0,3)
(357.5,8.0,5)
(15.5,9.0,3)
(32.0,9.0,1)
(48.5,9.0,3)
(84.5,9.0,5)
(99.5,9.0,3)
(117.0,9.0,1)
(130.5,9.0,1)
(137.5,9.0,1)
(146.5,9.0,3)
(165.5,9.0,5)
(173.0,9.0,5)
(182.0,9.0,3)
(191.0,9.0,1)
(198.5,9.0,3)
(208.5,9.0,5)
(212.5,9.0,3)
(235.0,9.0,2)
(243.5,9.0,4)
(251.0,9.0,3)
(254.0,9.0,1)
(271.5,9.0,1)
(278.5,9.0,3)
(286.0,9.0,5)
(305.5,9.0,4)
(313.0,9.0,2)
(322.5,9.0,4)
(340.0,9.0,3)
(348.0,9.0,1)
(353.0,9.0,3)
(13.5,10.0,1)
(23.0,10.0,4)
(33.0,10.0,2)
(49.5,10.0,2)
(57.0,10.0,4)
(70.0,10.0,2)
(85.0,10.0,3)
(93.0,10.0,1)
(100.0,10.0,3)
(108.0,10.0,5)
(116.5,10.0,3)
(126.0,10.0,1)
(129.5,10.0,3)
(152.5,10.0,2)
(159.5,10.0,4)
(169.0,10.0,2)
(186.0,10.0,2)
(195.0,10.0,4)
(203.5,10.0,2)
(213.5,10.0,1)
(223.0,10.0,3)
(230.0,10.0,5)
(243.0,10.0,2)
(253.0,10.0,1)
(260.5,10.0,3)
(269.0,10.0,5)
(277.5,10.0,3)
(286.5,10.0,1)
(352.5,10.0,1)
(2.5,11.0,3)
(12.0,11.0,5)
(64.5,11.0,5)
(73.0,11.0,3)
(82.5,11.0,1)
(136.0,11.0,1)
(153.5,11.0,3)
(172.0,11.0,5)
(243.5,11.0,3)
(295.0,11.0,2)
(301.5,11.0,2)
(330.5,11.0,4)
(337.5,11.0,4)
(5.5,12.0,1)
(12.5,12.0,3)
(40.0,12.0,5)
(48.5,12.0,3)
(79.5,12.0,2)
(114.5,12.0,5)
(118.5,12.0,3)
(133.5,12.0,3)
