(122.0,0.0,5)
(128.0,0.0,5)
(136.5,0.0,3)
(145.5,0.0,5)
(159.5,0.0,3)
(173.5,0.0,1)
(181.0,0.0,3)
(189.5,0.0,5)
(197.5,0.0,5)
(205.0,0.0,4)
(240.0,0.0,5)
(247.5,0.0,5)
(254.5,0.0,3)
(263.5,0.0,5)
(277.5,0.0,3)
(290.5,0.0,1)
(298.5,0.0,3)
(306.0,0.0,5)
(314.0,0.0,5)
(322.5,0.0,4)
(359.0,0.0,5)
(6.5,1.0,5)
(56.0,1.0,5)
(71.5,1.0,5)
(87.0,1.0,5)
(102.5,1.0,5)
(116.0,1.0,5)
(122.5,1.0,5)
(130.5,1.0,3)
(139.0,1.0,5)
(153.0,1.0,3)
(164.5,1.0,1)
(173.5,1.0,3)
(180.5,1.0,5)
(189.0,1.0,5)
(197.5,1.0,4)
(217.0,1.0,5)
(234.0,1.0,5)
(251.0,1.0,5)
(265.0,1.0,5)
(279.0,1.0,5)
(294.0,1.0,5)
(308.5,1.0,5)
(323.5,1.0,5)
(338.0,1.0,5)
(351.5,1.0,5)
(359.0,1.0,5)
(6.0,2.0,3)
(14.0,2.0,5)
(29.5,2.0,3)
(43.0,2.0,1)
(51.0,2.0,3)
(58.5,2.0,5)
(66.0,2.0,5)
(74.0,2.0,4)
(108.5,2.0,5)
(124.5,2.0,5)
(139.5,2.0,3)
(147.0,2.0,3)
(154.5,2.0,3)
(161.5,2.0,3)
(169.0,2.0,1)
(175.5,2.0,1)
(183.5,2.0,1)
(189.0,2.0,1)
(197.0,2.0,3)
(204.0,2.0,3)
(211.5,2.0,3)
(219.0,2.0,3)
(227.5,2.0,5)
(235.0,2.0,5)
(242.5,2.0,3)
(249.5,2.0,5)
(263.5,2.0,3)
(278.0,2.0,1)
(285.0,2.0,3)
(292.0,2.0,5)
(300.0,2.0,5)
(308.5,2.0,4)
(340.0,2.0,5)
(351.5,2.0,5)
(359.5,2.0,5)
(13.5,3.0,3)
(20.5,3.0,3)
(28.5,3.0,3)
(42.0,3.0,1)
(49.5,3.0,1)
(57.5,3.0,1)
(72.5,3.0,2)
(86.0,3.0,2)
(94.0,3.0,1)
(103.0,3.0,5)
(110.5,3.0,5)
(118.5,3.0,3)
(126.0,3.0,5)
(140.5,3.0,3)
(153.0,3.0,1)
(160.5,3.0,3)
(167.5,3.0,5)
(175.5,3.0,5)
(184.0,3.0,4)
(211.5,3.0,5)
(224.0,3.0,5)
(232.5,3.0,3)
(241.5,3.0,5)
(258.5,3.0,3)
(272.0,3.0,1)
(280.5,3.0,3)
(287.0,3.0,5)
(294.0,3.0,5)
(302.0,3.0,4)
(336.0,3.0,5)
(344.0,3.0,5)
(352.0,3.0,3)
(0.5,4.0,5)
(16.5,4.0,3)
(28.0,4.0,1)
(37.0,4.0,3)
(43.5,4.0,5)
(51.0,4.0,5)
(59.5,4.0,4)
(94.5,4.0,5)
(101.0,4.0,5)
(109.0,4.0,3)
(117.0,4.0,5)
(133.0,4.0,3)
(146.0,4.0,1)
(154.0,4.0,3)
(161.0,4.0,5)
(168.5,4.0,5)
(177.0,4.0,4)
(213.0,4.0,5)
(230.0,4.0,5)
(243.5,4.0,3)
(258.5,4.0,3)
(272.5,4.0,1)
(288.5,4.0,1)
(303.5,4.0,2)
(317.5,4.0,2)
(331.0,4.0,1)
(346.0,4.0,1)
(1.0,5.0,1)
(16.0,5.0,1)
(31.0,5.0,1)
(44.5,5.0,1)
(60.0,5.0,1)
(74.0,5.0,1)
(89.5,5.0,4)
(103.5,5.0,4)
(119.0,5.0,4)
(133.0,5.0,4)
(148.0,5.0,4)
(163.0,5.0,4)
(177.0,5.0,4)
(191.5,5.0,4)
(205.0,5.0,3)
(216.0,5.0,3)
(221.0,5.0,3)
(229.0,5.0,1)
