(54.5,0,0.0,1)
(75.5,0,0.0,5)
(98.5,0,0.0,1)
(118.0,0,0.0,5)
(183.0,0,0.0,1)
(206.0,0,0.0,5)
(227.5,0,0.0,1)
(249.5,0,0.0,5)
(271.0,0,0.0,1)
(293.0,0,0.0,5)
(1.0,0,1.0,3)
(23.5,0,1.0,2)
(45.0,0,1.0,3)
(57.5,0,1.0,3)
(69.0,0,1.0,4)
(91.0,0,1.0,3)
(112.5,0,1.0,2)
(134.5,0,1.0,3)
(146.0,0,1.0,3)
(157.0,0,1.0,4)
(178.0,0,1.0,3)
(200.0,0,1.0,2)
(221.5,0,1.0,3)
(232.0,0,1.0,3)
(244.0,0,1.0,4)
(266.0,0,1.0,3)
(288.5,0,1.0,2)
(310.0,0,1.0,3)
(321.0,0,1.0,3)
(332.0,0,1.0,4)
(354.0,18.0,1.0,3)
(33.0,64.0,2.0,1)
(78.0,109.0,2.0,5)
(122.0,151.5,2.0,3)
(166.0,0,2.0,1)
(189.5,0,2.0,3)
(210.0,0,2.0,1)
(220.0,0,2.0,1)
(231.5,0,2.0,3)
(252.5,0,2.0,1)
(279.0,0,2.0,3)
(298.0,0,2.0,1)
(308.5,0,2.0,1)
(321.5,0,2.0,3)
(343.5,0,2.0,5)
(23.5,63.5,3.0,3)
(69.0,105.0,3.0,5)
(113.0,147.0,3.0,2)
(156.5,186.0,3.0,4)
(199.0,233.0,3.0,3)
(242.0,274.0,3.0,5)
(287.5,316.5,3.0,2)
(331.5,7.5,3.0,4)
(14.0,45.5,4.0,3)
(57.5,88.5,4.0,5)
(102.0,133.5,4.0,2)
(147.0,176.5,4.0,4)
(189.5,219.5,4.0,3)
(233.5,266.0,4.0,5)
(280.5,303.0,4.0,2)
(323.5,0,4.0,3)
(345.0,0,4.0,3)
(7.5,0,5.0,3)
(29.0,0,5.0,3)
(51.0,0,5.0,3)
(72.5,0,5.0,3)
(95.0,0,5.0,3)
(115.5,0,5.0,3)
(136.5,0,5.0,3)
(159.5,0,5.0,3)
(181.5,0,5.0,3)
(203.0,0,5.0,3)
(225.0,0,5.0,3)
(248.0,0,5.0,3)
(314.5,0,5.0,1)
(320.0,0,5.0,3)
(331.5,0,5.0,5)
(337.0,0,5.0,3)
(341.5,0,5.0,3)
(354.5,0,5.0,5)
(359.0,0,5.0,5)
(6.5,0,6.0,3)
(12.0,0,6.0,1)
(23.0,0,6.0,3)
(34.5,0,6.0,2)
(45.5,0,6.0,4)
(63.5,0,6.0,5)
(68.5,0,6.0,3)
(82.5,0,6.0,5)
(86.5,0,6.0,5)
(93.5,0,6.0,3)
(98.0,0,6.0,3)
(103.0,0,6.0,1)
(109.0,0,6.0,3)
(122.0,0,6.0,2)
(132.0,0,6.0,3)
(137.5,0,6.0,3)
(148.5,0,6.0,1)
(152.0,0,6.0,3)
(158.5,0,6.0,5)
(170.5,0,6.0,3)
(180.0,0,6.0,5)
(184.5,0,6.0,5)
(195.5,0,6.0,3)
(207.0,0,6.0,5)
(223.0,0,6.0,4)
(240.5,0,6.0,2)
(262.0,0,6.0,3)
(273.5,0,6.0,3)
(287.0,0,6.0,2)
(306.0,0,6.0,3)
(328.0,0,6.0,4)
(350.0,0,6.0,3)
(359.5,0,6.0,3)
(11.0,0,7.0,2)
(31.0,0,7.0,3)
(54.0,0,7.0,2)
(75.0,0,7.0,3)
(85.0,0,7.0,3)
(98.0,0,7.0,4)
(119.0,0,7.0,3)
(129.5,0,7.0,1)
(141.0,0,7.0,3)
(165.0,0,7.0,2)
(175.0,0,7.0,2)
(186.5,0,7.0,3)
(207.5,0,7.0,3)
(218.5,0,7.0,5)
(230.5,0,7.0,4)
(251.5,0,7.0,3)
(261.5,0,7.0,5)
(273.0,0,7.0,3)
(284.5,0,7.0,3)
(295.5,0,7.0,5)
