(41.0,0,0.0,1)
(63.0,0,0.0,5)
(83.0,0,0.0,1)
(103.5,0,0.0,5)
(124.5,0,0.0,1)
(145.0,0,0.0,5)
(167.0,0,0.0,1)
(187.5,0,0.0,5)
(221.5,0,0.0,1)
(230.5,0,0.0,3)
(240.0,0,0.0,5)
(252.0,278.5,0.0,5)
(285.0,0,0.0,3)
(296.0,325.5,0.0,5)
(332.0,0,0.0,1)
(337.0,0,0.0,3)
(343.0,347.5,0.0,5)
(350.5,19.0,0.0,3)
(29.0,0,1.0,1)
(39.0,0,1.0,3)
(48.5,0,1.0,3)
(61.0,110.0,1.0,5)
(123.0,0,1.0,1)
(132.5,0,1.0,3)
(145.5,188.5,1.0,5)
(199.5,0,1.0,1)
(209.0,0,1.0,3)
(218.5,0,1.0,5)
(231.0,256.0,1.0,3)
(265.0,0,1.0,3)
(275.0,305.0,1.0,5)
(312.5,0,1.0,1)
(316.0,0,1.0,3)
(320.0,0,1.0,5)
(329.5,2.5,1.0,5)
(8.5,0,2.0,1)
(18.5,0,2.0,3)
(28.0,0,2.0,3)
(40.5,95.0,2.0,5)
(104.5,0,2.0,1)
(112.5,0,2.0,3)
(126.5,174.5,2.0,1)
