(3,0,0,0)
(27.5,0,0.0,3)
(39.5,0,0.0,3)
(53.5,0,0.0,3)
(67.0,0,0.0,5)
(81.0,0,0.0,5)
(95.0,0,0.0,5)
(108.5,0,0.0,5)
(123.5,0,0.0,3)
(138.0,0,0.0,3)
(151.0,0,0.0,3)
(165.5,0,0.0,3)
(178.5,0,0.0,1)
(193.0,0,0.0,1)
(206.5,0,0.0,1)
(219.5,0,0.0,1)
(234.0,0,0.0,3)
(249.0,0,0.0,3)
(262.0,0,0.0,3)
(276.5,0,0.0,3)
(290.5,0,0.0,5)
(304.5,0,0.0,5)
(319.0,0,0.0,5)
(333.0,0,0.0,5)
(348.0,0,0.0,3)
(1.5,0,1.0,3)
(15.0,0,1.0,3)
(28.5,0,1.0,3)
(43.0,0,1.0,1)
(56.0,0,1.0,1)
(71.0,0,1.0,1)
(82.5,0,1.0,1)
(98.5,0,1.0,1)
(127.5,0,1.0,3)
(156.0,0,1.0,5)
(183.0,0,1.0,3)
(211.5,0,1.0,5)
(238.0,0,1.0,1)
(266.5,0,1.0,3)
(297.0,0,1.0,1)
(323.5,0,1.0,5)
(351.5,0,1.0,3)
(19.5,0,2.0,1)
(46.0,0,2.0,5)
(75.5,0,2.0,1)
(103.0,0,2.0,3)
(131.5,0,2.0,5)
(161.5,0,2.0,3)
(189.0,0,2.0,1)
(204.0,0,2.0,3)
(218.0,0,2.0,1)
(232.0,0,2.0,3)
(246.5,0,2.0,1)
(259.5,0,2.0,3)
(273.5,0,2.0,1)
(287.0,0,2.0,5)
(302.0,0,2.0,1)
(316.5,0,2.0,3)
(330.5,0,2.0,1)
(344.5,0,2.0,5)
(358.5,0,2.0,1)
(12.0,0,3.0,3)
(26.5,0,3.0,1)
(40.5,0,3.0,5)
(54.5,0,3.0,1)
(69.5,0,3.0,3)
(82.0,0,3.0,1)
(97.0,0,3.0,3)
(110.5,0,3.0,1)
(124.0,0,3.0,5)
(138.0,0,3.0,1)
(153.5,0,3.0,3)
(168.0,0,3.0,1)
(181.0,0,3.0,3)
